1,73,41
2,50,17
3,39,42
4,29,18
5,88,100
6,81,77
7,69,61
8,13,34
9,88,44
10,39,28
11,21,23
12,24,22
13,2,43
14,44,60
15,60,41
16,68,36
17,30,49
18,1,47
19,32,36
20,97,27
21,2,24
22,89,2
23,45,4
24,43,5
25,60,43
26,82,85
27,100,95
28,88,77
29,39,4
30,29,82
31,43,72
32,90,86
33,18,71
34,99,10
35,76,94
36,49,97
37,19,57
38,36,35
39,47,69
40,42,22
41,41,82
42,57,15
43,37,92
44,11,64
45,14,6
46,32,28
47,80,97
48,15,44
49,55,81
50,38,93
51,6,45
52,62,48
53,40,96
54,95,51
55,48,11
56,56,46
57,41,60
58,100,12
59,85,96
60,16,37
61,31,3
62,53,51
63,12,44
64,84,7
65,79,13
66,79,63
67,99,82
68,55,36
69,7,27
70,21,68
71,97,68
72,75,7
73,59,54
74,7,60
75,24,11
76,76,63
77,9,17
78,74,43
79,65,14
80,66,79
81,54,69
82,52,84
83,98,28
84,7,43
85,96,95
86,11,40
87,74,27
88,64,89
89,81,50
90,53,36
91,84,74
92,56,3
93,5,70
94,86,79
95,29,46
96,9,98
97,46,93
98,29,85
99,17,42
100,24,6
