1,61,22
2,23,70
3,27,26
4,1,49
5,11,26
6,61,85
7,60,80
8,72,40
9,97,43
10,47,59
11,52,38
12,82,54
13,51,78
14,57,32
15,55,22
16,89,83
17,86,97
18,5,20
19,23,43
20,89,1
21,83,85
22,19,75
23,59,2
24,97,72
25,2,76
26,65,31
27,37,22
28,88,31
29,81,33
30,35,65
31,60,37
32,69,94
33,43,77
34,39,3
35,99,2
36,94,97
37,71,8
38,98,92
39,29,40
40,50,51
41,7,21
42,56,98
43,72,93
44,78,83
45,96,6
46,5,96
47,83,14
48,42,65
49,27,70
50,64,49
51,85,3
52,52,12
53,92,2
54,61,20
55,87,24
56,56,18
57,9,83
58,53,68
59,62,63
60,30,36
61,38,81
62,35,73
63,16,98
64,26,35
65,79,24
66,85,56
67,58,8
68,20,68
69,40,38
70,37,30
71,36,95
72,10,38
73,62,10
74,52,83
75,10,33
76,4,16
77,44,42
78,26,66
79,34,35
80,44,97
81,25,13
82,17,59
83,73,7
84,41,94
85,46,51
86,34,98
87,95,35
88,14,91
89,6,95
90,50,99
91,88,21
92,66,12
93,71,61
94,64,42
95,30,74
96,19,94
97,16,64
98,39,12
99,96,62
100,25,30
